position,broker,qty,cost,value,unrl,as_of,frame
PATEL ENGINEERING,Zerodha,1559,107081.06,40908.16,-66172.9,11-Jun-2026,Conviction hold — EPC re-rating thesis (user)
PATEL ENGINEERING,Groww,1009,62641.13,26344.99,-36296.14,01-Jun-2026,Conviction hold — EPC re-rating thesis (user)
WARDWIZARD INNOVATIONS,Groww,593,42633.1,3967.17,-38665.93,01-Jun-2026,Under review
Tracker positions (4),Groww,5,721.87,567.99,-153.88,01-Jun-2026,1-share monitors
